difficulty,average_time,minimum_time,maximum_time,standard_deviation,average_attempts,hashes_per_second
2,0.0001260533385599653,6.6999346017837524e-06,0.0003171000862494111,9.183998623538878e-05,184.23333333333332,1461550.6057833687
3,0.0034441733305963377,0.00016759999562054873,0.01282930001616478,0.003079248898873099,4978.166666666667,1445387.9607170431
4,0.04247957667491088,0.005156699917279184,0.18507690005935729,0.03796935929761921,67595.93333333333,1591257.2258107406
5,0.639418133336585,0.029984099906869233,2.0626548000145704,0.6141361568272332,1011423.1333333333,1581786.7536154587
