difficulty,block_number,nonce,hash,attempts,mining_time
3,16,2049,000fd11c902593edef25f2548cb13d04272839f69d616409f3b5cdc0d1014976,2050,0.0013096999609842896
3,17,2775,00095aeedfacf7807778e62c50f724d89de52c5d6b4889ebe9870c1f8880011a,2776,0.0018991000251844525
3,18,1597,000c721c2f949d2976208f07e2cbfd702c8e7a596c5f428665e13c6f46ed7aad,1598,0.000998400035314262
3,19,1263,0005a507d25b70bbbe3b7821b480614f55a6d5798f24943212eed2e2fdb277f0,1264,0.0007975999033078551
3,20,2545,000fc7ff3214038baccabceaa95151934ed6bbba86039e96f68d358a18269581,2546,0.0034021000610664487
3,21,2445,000f270538340f21c689e619f131cefe1596ad21016980b72c0d3440d068451e,2446,0.002053300035186112
3,22,11563,0000c66d18923fd5d7b74058800e5d9578165a0688d92dc6f37fe3ff53fe100d,11564,0.0098289999878034
3,23,4977,00065460d971feddcd8725bab3e6f32a69b9763bb8db44b060c0c0e5e095fe35,4978,0.004707299987785518
3,24,19134,000c1e8e38d62f5c9587728ab06e9ba82a4d3b0f008faba7dc99654521d407a2,19135,0.01282930001616478
3,25,258,0002d1d669a2b9411969da99f127f726e4e8663018c2decd6cf4c6550b254ee9,259,0.00016759999562054873
3,26,3874,000c3497b52c5920a5f85fc179440fbe8acf2e077920bc4bcecdcf84dd2f815f,3875,0.0025646999711170793
3,27,2470,0006453d070bcd0339c95c8f8a4e33abcfce0a53a39262b8ae1eea52ffc54624,2471,0.0015745999990031123
3,28,2226,00043b160cdd02a1eced32497383fefa798a1aa4ab8bdf050c29301ecc58753a,2227,0.0014390000142157078
3,29,13178,000bb2b828325a7a73e15e9c26382d004d0c18863d1a18897caa0ed071e57f8c,13179,0.008766099927015603
3,30,3063,000b60cb735eea5d972bdc128121d64176899c90184181510fec1e10d861fb91,3064,0.0020336000015959144
4,1,46696,00009ead6b486823f709119cb242a011364d098358f5f483861fe133f195c7ff,46697,0.029627099982462823
4,2,30764,0000dd5c96f37fff9bccd7e4c8073e25e923c8fde194bc924b6fe0219aa30a2f,30765,0.01951709995046258
4,3,55201,00001fccb01ebe91be415c6a3078d2a2c5f9c9247db268a1e5e8c1455ce49587,55202,0.035154599929228425
4,4,51358,0000416c8394959bf5e28cabc743b54ceb4917d206b4d2b7526c161cff5d815b,51359,0.032787500065751374
4,5,64689,0000150a5c8820676b239a20daf9992b4ab282eed28c5d21a4ec75fd2b63ec3a,64690,0.040745100006461143
4,6,11623,0000e05491b3dbea884ac46c8a520c3af177e7052694b140aaeff25c70b99ea9,11624,0.007192599936388433
4,7,98127,000027194db58107fce02b43ec76cc31cb1e5a73a48daf581cedfb613b9e89c1,98128,0.06124359997920692
4,8,105557,00009ac4a6fe0393703aa7fc985fac51ed5e89127d15ca13026ec7720a490b1f,105558,0.06531019997783005
4,9,96541,0000ef1adde46140680381f9ae54148ede917e89da855b140f84ecf0ef944f66,96542,0.05984400003217161
4,10,64201,0000e82778624b6c94e3ca54412662790b3ad0b5e0c6bb8b69e3ea0942d9775b,64202,0.04103099997155368
4,11,21938,00005e53da572ca1e414ba8c649f06adb69f0a4a90e2b020c6086cd13cbabe17,21939,0.013909799978137016
4,12,18361,00003180012503a394fdc8429ef878efed7e5d578b15175fe390fcfda5b6ec69,18362,0.012180900084786117
4,13,114321,00000a7622c5672a5de5c24d974ce1e7e26143286bfac7b8e8f659344963acd1,114322,0.07085750007536262
4,14,8202,0000f1d2990b85ab32ec1ff928c61b04bf1f8d753c09d1fdb4733ee8958ebad4,8203,0.005156699917279184
4,15,10275,0000812c3bbdc00f95fd489832f1c8a79ef741c7e53c88763b4356a97db1928a,10276,0.00661260006017983
4,16,94868,000047161302d11ed532b58bce2afbbe77ae76881347ce83b25bd238adfb2b95,94869,0.058773200027644634
4,17,15579,00008d9614b94649f9688a3fbff8e9ccd1ed5dce2c1a4668479d804a4fa30a23,15580,0.010304700001142919
4,18,11245,0000330724d4fa5c8336b0644747ef7f676879abd680624d28588b215567ed13,11246,0.007234400021843612
4,19,54114,00007ca54ecdca46063a657ea998f9b03d749750607d5643226f6978cba5d337,54115,0.03481580002699047
4,20,23699,00009637479e6edb92d4ff05c3776f60847941b9539bfca60f7bda0ba59be4a8,23700,0.01552430004812777
4,21,296296,00001427b6ccee330210f6fc1e2e253d56eb092375ed5a829fab0d613fa81630,296297,0.18507690005935729
4,22,11563,0000c66d18923fd5d7b74058800e5d9578165a0688d92dc6f37fe3ff53fe100d,11564,0.007287499960511923
4,23,56398,0000e810ef0ce2ca9a4f9de89207b173571e2b5c59a1e5c8f68e295b2ea6c4a1,56399,0.03539760003332049
4,24,131836,000021676d836ef4f21eb6cfc2961d082f5fecfd1767be6cc94a4f014912d0d6,131837,0.0814265999943018
4,25,46802,0000f9e5144d1e3d161d864bf6a1cdbc272e16061b6c7cc6da293e482415304a,46803,0.02908840007148683
4,26,154445,00003a275e2d63188d6bd87d69688903ce61c8eb6780ee47c320856108450a79,154446,0.09582549997139722
4,27,10332,0000a7f688f75c3d0f3194578a019d0c5a6a8c47dcaf92987e7db13952266fd9,10333,0.006356099969707429
4,28,99483,000063813fae474da9cf50369b7eb32d7af60d2ea8fba386ef30b7a744d38c72,99484,0.061577900080010295
4,29,89887,000026f6f560904705e43aaf45da5d84d9dd809fc66fd93b3d0eb66aaadb36f7,89888,0.05834310001228005
4,30,133447,000044a0bed9d18cdff073e4db0f8836221742742f32cc1f345c232e20aeb064,133448,0.08618500002194196
5,1,2767169,0000068d45292b0b70fb4d5dbe481affd9db8bed2ddf6c8a42be5ee5c19dbed4,2767170,1.7387448999797925
5,2,309820,00000813cc5c6a7b1e2d40a5ae37c64a8a7266dbc5a31b1c6d08b30d976f745a,309821,0.19284220004919916
5,3,713540,000004820bcd963f1a854417e3e84061820053b4a7180f597626c74f62dfa291,713541,0.44947629992384464
5,4,3018296,000008458c67d7eb8b940b7abaef811b72f74ea8de007a1f1a88520345614d70,3018297,1.8743888000026345
5,5,673220,0000091fb138adc4a9192dae00000cefc214559d23794b09c893bce37a1e777c,673221,0.4207412999821827
5,6,1253361,00000de28ea285ed0ee50477a936dbf5c2fef2ac306811757414c7723d392e2a,1253362,0.7735044000437483
5,7,250079,00000a16a2cd0266fd5920d07aa535e121892b664772397eb14879d39bdbe025,250080,0.1562946999911219
5,8,503861,00000a201aae6d86e991dbf5d84ebc4c75bea9e590853dde2d13e70ad4b80d35,503862,0.30876960000023246
5,9,108323,00000af9c4198d8a76db2cb39b884c97a23c2aa97e888a10c13377c9e67aa90a,108324,0.07756959996186197
5,10,1463454,00000c1590ed14b941cac74161a33e34d75c2a254a17f695233a4f9f237a8ef6,1463455,0.902054600068368
5,11,501752,00000e13b4ee323a74a1a7d844d01eab1c4b02a7eea37a5d80bd80ffd5ad5d83,501753,0.3107932999264449
5,12,558898,00000609a549eb50be2b3b2d5bb9895bd030513005fa9413969e062def9dc91b,558899,0.3444940000772476
5,13,114321,00000a7622c5672a5de5c24d974ce1e7e26143286bfac7b8e8f659344963acd1,114322,0.07279480004217476
5,14,269445,00000ecc2c766f783198f086793c3cf9099a241853dbdc4d64775cb03fc5db7c,269446,0.16973920003511012
5,15,208974,00000eb692f10fd0424b65aa94049e034e66b40c8edb25cf0b4794d02e08fce8,208975,0.13107240002136678
5,16,1166765,0000033a782a4e36e1360ac7b7fd053b34643d5a4a97333e1bcfb5bbed504d09,1166766,0.7379544000141323
5,17,3270623,00000a93495bf32c2ccb0f924787882944566a76f2e0acd1cb7312bd8907af44,3270624,2.0626548000145704
5,18,47982,000000e7ad1c83a845c2b93e8196d60f3b5916f21d8d3ec4ae442a3bc319093e,47983,0.029984099906869233
5,19,110894,00000b58341f72db2ea38254c9e5c07772713b90e054152b76f77f9bc349764b,110895,0.06959279999136925
